@Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz
(272 threads)

* with NUMA opt
#MCDRAM cache
array 67108864 6076 [microsec]
array 33554432 3453 [microsec]
array 16777216 2197 [microsec]
array 8388608 1592 [microsec]
array 4194304 1191 [microsec]
array 2097152 1308 [microsec]
array 1048576 936 [microsec]
array 524288 1009 [microsec]
array 262144 1198 [microsec]
array 131072 808 [microsec]
array 65536 835 [microsec]
array 32768 696 [microsec]

#MCDRAM hand
##without MCDRAM
array 67108864 26966 [microsec]
array 33554432 13604 [microsec]
array 16777216 7445 [microsec]
array 8388608 4176 [microsec]
array 4194304 2498 [microsec]
array 2097152 1750 [microsec]
array 1048576 1164 [microsec]
array 524288 1051 [microsec]
array 262144 937 [microsec]
array 131072 972 [microsec]
array 65536 758 [microsec]
array 32768 902 [microsec]

##with MCDRAM
array 67108864 7056 [microsec]
array 33554432 4139 [microsec]
array 16777216 2393 [microsec]
array 8388608 1929 [microsec]
array 4194304 1314 [microsec]
array 2097152 1068 [microsec]
array 1048576 1211 [microsec]
array 524288 1115 [microsec]
array 262144 950 [microsec]
array 131072 831 [microsec]
array 65536 817 [microsec]
array 32768 1187 [microsec]

* without NUMA opt
#MCDRAM cache
array 67108864 192479 [microsec]
array 33554432 193173 [microsec]
array 16777216 181654 [microsec]
array 8388608 187047 [microsec]
array 4194304 182838 [microsec]
array 2097152 174425 [microsec]
array 1048576 165423 [microsec]
array 524288 183203 [microsec]
array 262144 174830 [microsec]
array 131072 175944 [microsec]
array 65536 159430 [microsec]
array 32768 163625 [microsec]

#MCDRAM hand
##without MCDRAM
array 67108864 506725 [microsec]
array 33554432 188535 [microsec]
array 16777216 171989 [microsec]
array 8388608 167140 [microsec]
array 4194304 163215 [microsec]
array 2097152 177890 [microsec]
array 1048576 180566 [microsec]
array 524288 173560 [microsec]
array 262144 165984 [microsec]
array 131072 162524 [microsec]
array 65536 165889 [microsec]
array 32768 157680 [microsec]

##with MCDRAM
array 67108864 185558 [microsec]
array 33554432 183075 [microsec]
array 16777216 176527 [microsec]
array 8388608 175967 [microsec]
array 4194304 164509 [microsec]
array 2097152 165838 [microsec]
array 1048576 180576 [microsec]
array 524288 163850 [microsec]
array 262144 174573 [microsec]
array 131072 165014 [microsec]
array 65536 167874 [microsec]
array 32768 166770 [microsec]

(68 threads)
With NUMA opt
#MCDRAM cache
array 67108864 5634 [microsec]
array 33554432 3072 [microsec]
array 16777216 1757 [microsec]
array 8388608 1371 [microsec]
array 4194304 814 [microsec]
array 2097152 768 [microsec]
array 1048576 800 [microsec]
array 524288 182 [microsec]
array 262144 392 [microsec]
array 131072 363 [microsec]
array 65536 359 [microsec]
array 32768 118 [microsec]

(34 threads)
With NUMA opt
#MCDRAM cache
array 67108864 5657 [microsec]
array 33554432 3083 [microsec]
array 16777216 1868 [microsec]
array 8388608 1223 [microsec]
array 4194304 932 [microsec]
array 2097152 696 [microsec]
array 1048576 681 [microsec]
array 524288 166 [microsec]
array 262144 155 [microsec]
array 131072 159 [microsec]
array 65536 122 [microsec]
array 32768 144 [microsec]

@Tesla P100-PCIE-16GB + Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz
array 67108864 3130 [microsec]
array 33554432 1619 [microsec]
array 16777216 843 [microsec]
array 8388608 444 [microsec]
array 4194304 270 [microsec]
array 2097152 172 [microsec]
array 1048576 109 [microsec]
array 524288 83 [microsec]
array 262144 48 [microsec]
array 131072 38 [microsec]
array 65536 38 [microsec]
array 32768 30 [microsec]
